нода,кол-во вин,вопрос сейчас,,вопрос новый,картинка,
вкус_сладкий_конфетный_ириска,1,Будешь ириску?,,"Может немного ирисок? , Нравиться сладости типо ирисок или сгущенки?",http://file.mobilmusic.ru/a7/9c/d7/964220.jpg,
вкус_пряный_тмин,1,Нравится тмин на вкус?,,"Любишь специй, например тмин?",http://www.edimdoma.ru/data/ckeditor_pictures/18830/content_fotolia_78923629_subscription_xl.jpg,
аромат_грибной_трюфель,1,Хочешь попробовать трюфель?,,"Запах трюфеля одни любят, а другие ненавидят, как насчет тебя?), Нравятся мускусные ароматы как у трюфеля?",http://www.umhoz.com/wp-content/uploads/2016/03/chernii-trufel-korolevskii-grib1.jpg,
вкус_сухофрукты_изюм,1,Любишь изюм?,,Как насчет изюма? Нравится?,http://ezidri-master.com/images/sushka-jagod/kishmish/kishmish_24.jpg,
вкус_сладкий_выпечка_заварной крем,1,Нравится вкус заварного крема?,вкус_сладкий_кремовый,Хочется сейчас булочку с заварным кремом?,http://img1.russianfood.com/dycontent/images_upl/121/big_120457.jpg,
аромат_цветочный_пион,1,Нравится запах пионов?,,Хотелось бы почувствовать запах пионов?,http://i.artfile.ru/1920x1208_990038_[www.ArtFile.ru].jpg,
аромат_пряный_мускус,1,Нравится мускусный запах?,,Нравяться терпкие мускусные запахи?,,
аромат_цветочный_акация,1,Любишь запах акации?,,Романтичный сладковатый запах акаций это твое?,http://megaobzor.net/wp-content/gallery/akaciya/akaciya6.jpg,
вкус_пряный_кардамон,1,Нравится чай масала?,,Хотелось бы сейчас индийсих пряностей?,http://prodgid.ru/wp-content/uploads/2015/01/%D0%A2%D0%B5%D0%BC%D0%B0-18-%D0%BF%D0%BE%D0%BB%D0%B5%D0%B7%D0%BD%D1%8B%D0%B5-%D1%81%D0%B2%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%B0-%D0%BA%D0%B0%D1%80%D0%B4%D0%B0%D0%BC%D0%BE%D0%BD%D0%B0-3.jpg,
вкус_сладкий_печеное ябоко,1,Любишь печеные яблоки на десерт?,,"Нравятся печеные ябоки?, Любишь шарлотку?",http://volshebnaya-eda.ru/wp-content/uploads/2013/11/pechenye-jabloki-3.jpg,http://v.img.com.ua/b/600x500/1/50/c5f72a7238acc4548dc7585f42289501.jpg
вкус_сладкий_какао,1,Будешь какао?,,Как насчет сладкого какао? Любишь на завтрак выпить немного какао? Какао и вино вместе - это интересное соетание?,http://womo.com.ua/wp-content/uploads/2015/11/Hot-Chocolate.jpg,
вкус_сухофрукты_курага,1,Любишь курагу?,,Курага и прочие сухофрукты да или нет? Пьешь кампоты с сухофруктами?,http://www.ksonline.ru/wp-content/uploads/2016/07/kuraga.jpg,http://www.vse-pro-detey.ru/wp-content/uploads/2014/06/koktel-iz-kuragi.jpg
вкус_фруктовый_нектарин,1,Нравятся некатрины?,,Может быть хочешь нектарин?,http://kvaki.net/wp-content/uploads/2015/06/nektarin.jpg,
вкус_сладкий_сироп,1,Полил бы блинчики ягодным сиропом?,,Как насчет добавить сладкого сиропа в кофе или на тост?,http://www.hqwallpapers.ru/wallpapers/food/blinchiki-s-siropom.jpg,
аромат_горький_маслина,1,Любишь маслины или оливки?,,Маслины и вино? Как тебе такое сочетание?,http://www.ayzdorov.ru/images/Travi/maslini.jpg,
аромат_цветочный_липа,1,Нравится запах липы?,,,http://vesdoloi.ru/tim/7188da05d1f29a3706f1377cd1bb6d74.jpeg,
вкус_ягодный_ежевика,1,Любишь ежевику?,,Будешь сладкой ежевики?,http://chem-polezno.com/img/x105.jpg.pagespeed.ic.1HR8yUDo-G.jpg,
аромат_травяной_шалфей,1,Будешь чай с шалфеем?,,Любишь запах шалфея?,http://liktravy.ua/uploads/articles/content/55ccd7ab7b834.jpg,
аромат_травяной_бергамот,1,Любишь чай с бергамотом?,,Может немного ароматного бергамота?,http://siog.ru/uploads/posts/2013-11/1384181891_monarda2.jpg,
аромат_цветочный_ирис,1,"Нравится, как пахнут ирисы?",,,http://flowers.cveti-sadi.ru/files/2011/01/iris_.jpg,
